name,unit_id,tier,cost_gold,food,upgrades_from,upgrades_to,traits,targets,atk1_min,atk1_max,atk1_mean,atk1_cooldown,atk1_range,atk1_type,atk1_dps,atk2_min,atk2_max,atk2_mean,atk2_cooldown,atk2_range,atk2_type,atk2_dps,splash_targets,armour_type,armour_value,hp,cost_lumber,atk1_weapon,atk1_base,atk1_dice,atk1_sides,atk1_type_resolved,base_unit,abilities,tooltip,atk2_base,atk2_dice,atk2_sides,dps_raw,crit_multiplier,dps_with_crit,dps_per_gold,coverage_vs_725,dps_per_gold_coverage_adj,on_hit_dps,dot_dps,dps_total_est,dps_per_gold_x_range,dps_source,cost_source,attack_count,hits_air,hits_ground,targets_all,atk1_targets,atk2_targets,dps_vs_ground,dps_vs_air
Peasant,h008,1,10,0,,Hylgion Militia,Vindicator II (A03C),"air,enemies,ground,nonancient",16,16,16.0,0.6,125,,26.7,,,,,,,,,,0,1250,0,normal,15,1,1,normal,hhou,"A03C,A028",Build Peasant ( Q ),,,,26.7,3.50,93.5,9.35,0.03,0.28,,,93.5,1.61,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,93.5,93.5
Hylgion Militia,h001,2,35,0,Peasant,,Vindicator III (A02Z),"air,enemies,ground,nonancient",42,43,42.5,0.3,125,,141.7,,,,,,,,,,0,1500,0,normal,41,1,2,normal,hhou,"A02Z,A028",U pgrade to Hylgion Militia,,,,141.7,5.50,779.3,22.27,0.03,0.66,,,779.3,3.84,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,779.3,779.3
Spear Guard,h009,1,75,0,,Axeman,Air Critical Strike I (A005); Slow Poison I (Aspo),"air,enemies,ground,nonancient",99,107,103.0,0.6,850,,171.7,,,,,,,,,,0,1750,0,missile,98,1,9,normal,hhou,"A028,A005,Aspo",Build Spear Guard ( W ),,,,171.7,1.25,214.6,2.92,1.37,4.01,,4,218.6,3.42,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,218.6,218.6
Axeman,h01Z,2,140,0,Spear Guard,,Versatile Critical Strike I (A004); Slow Poison II (A008),"air,enemies,ground,nonancient",350,354,352.0,0.3,125,,1173.3,,,,,,,,,,0,2000,0,normal,349,1,5,normal,hhou,"A028,A004,A008",U pgrade to Axeman,,,,1173.3,1.52,1789.3,13.04,0.03,0.39,,36,1825.3,2.25,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,1825.3,1825.3
Shinobi,h00C,1,135,0,,Orobos Slave,Weak Splash (A020); Frost I (Afra),"air,enemies,ground,nonancient",103,107,105.0,0.6,350,,175.0,,,,,,,,"air,enemies,ground,nonancient",,0,1750,0,msplash,102,1,5,normal,hhou,"A028,A020,Afra",Build Shinobi ( E ),,,,175,1.00,175.0,1.30,0.23,0.30,,,175.0,0.63,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,175.0,175.0
Orobos Slave,h00D,2,190,0,Shinobi,,Splash (A021); Vindicator I (A02Y); Frost I (Afra),"air,enemies,ground,nonancient",275,275,275.0,0.3,400,magic,916.7,,,,,,,,"air,enemies,ground,nonancient",,0,2000,0,missile,274,1,1,magic,hhou,"A021,A02Y,A028,Afra",U pgrade to Orobos Slave,,,,916.7,2.25,2062.6,10.86,0.30,3.30,,,2062.6,5.99,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,2062.6,2062.6
Ruthless Warlord,h00E,1,325,0,,,Slow Poison II (A008),"air,enemies,ground,nonancient",929,943,936.0,0.3,125,,3120.0,,,,,,,,,,0,2250,0,normal,928,1,15,normal,hhou,"A028,A008",Build Ruthless Warlord ( R ),,,,3120,1.00,3120.0,9.71,0.03,0.29,,36,3156.0,1.67,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,3156.0,3156.0
Village Medic,h045,1,40,0,,,Healing Aura (ACce),"air,enemies,ground,nonancient",49,49,49.0,0.6,125,,81.7,,,,,,,,,,2,1500,0,normal,48,1,1,normal,hhou,"A028,ACce",Build Village Medic ( A ),,,,81.7,1.00,81.7,2.04,0.03,0.06,,,81.7,0.35,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,81.7,81.7
Marksman,h00J,1,120,0,,Tamed Game,Boss Assassin II (A00R),"air,enemies,ground,nonancient",179,184,181.5,0.5,950,magic,363.0,,,,,,,,,,1,1500,0,missile,178,1,6,magic,hhou,"A00R,A028",Build Marksman ( S ),,,,363,1.00,363.0,3.02,1.72,5.19,,,363.0,3.96,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,363.0,363.0
Tamed Game,h00L,2,205,0,Marksman,,Air Critical Strike II (A006),"air,enemies,ground,nonancient",400,403,401.5,0.5,1050,magic,803.0,,,,,,,,,,2,2000,0,missile,399,1,4,magic,hhou,"A028,A006",U pgrade to Tamed Game,,,,803,2.50,2007.5,9.79,2.10,20.54,,,2007.5,14.18,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,2007.5,2007.5
Bladesmith,h00K,1,120,0,,Impervious Armor,Fortitude (A047); Vindicator II (A03C),"air,enemies,ground,nonancient",336,344,340.0,0.5,125,,680.0,,,,,,,,,,4,2000,0,normal,335,1,9,normal,hhou,"A047,A03C,A028",Build Bladesmith ( D ),,,,680,3.50,2380.0,19.83,0.03,0.59,,,2380.0,3.42,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,2380.0,2380.0
Impervious Armor,h00M,2,200,0,Bladesmith,,Fortitude (A047); Vindicator III (A02Z); Bash II (ACbh); Frost I (Afra),"air,enemies,ground,nonancient",805,819,812.0,0.5,125,,1624.0,,,,,,,,,,,3000,0,missile,804,1,15,normal,hhou,"A047,A02Z,ACbh,A028,Afra",U pgrade to Impervious Armor,,,,1624,5.50,8932.0,45.13,0.03,1.34,94.0,,9026.0,7.78,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,9026.0,9026.0
General Ninpou,h00N,1,390,0,,,Life Boon (AEtq); Frost I (Afra); Versatile Critical Strike I (A004),"air,enemies,ground,nonancient",800,815,807.5,0.25,125,,3230.0,,,,,,,,,,3,3000,0,missile,799,1,16,normal,hhou,"AEtq,A028,Afra,A004",Build General Ninpou ( F ),,,,3230,1.52,4925.8,12.63,0.03,0.38,,,4925.8,2.18,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,4925.8,4925.8
Myrkridon Trow,h01X,1,215,0,,Insurrectionist Trow,Bash I (ANbh); Boss Assassin I (A03D); Slow Poison I (Aspo),"air,enemies,ground,nonancient",350,353,351.5,0.5,125,,703.0,,,,,,,,,,2,1750,0,normal,349,1,4,normal,hhou,"ANbh,A03D,A028,Aspo",Build Myrkridon Trow ( Z ),,,,703,1.00,703.0,3.38,0.03,0.10,20.0,4,727.0,0.58,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,727.0,727.0
Insurrectionist Trow,h01W,2,280,0,Myrkridon Trow,,Bash I (ANbh); Cleaving Attack (A007),"air,enemies,ground,nonancient",835,840,837.5,0.4,125,siege,2093.7,,,,,,,,"air,enemies,ground,nonancient",,3,2000,0,msplash,834,1,6,siege,hhou,"ANbh,A028,A007",U pgrade to Insurrectionist Trow,,,,2093.7,1.00,2093.7,7.57,0.03,0.22,25.0,,2118.7,1.30,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,2118.7,2118.7
War Beast,h01V,1,275,0,,Toxic Assassin,Air Critical Strike I (A005); Slow Poison I (Aspo),"air,enemies,ground,nonancient",500,510,505.0,0.35,125,,1442.9,,,,,,,,,,3,2250,0,missile,499,1,11,normal,hhou,"A028,A005,Aspo",Build War Beast ( X ),,,,1442.9,1.25,1803.6,6.57,0.03,0.20,,4,1807.6,1.13,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,1807.6,1807.6
Toxic Assassin,h01Y,2,350,0,War Beast,,Air Critical Strike II (A006); Slow Poison III (A00T),"enemies,ground,nonancient",246,251,248.5,0.45,500,,552.2,487,492,489.5,0.5,500,magic,979.0,,,4,2500,0,normal,245,1,6,normal,hhou,"A028,A006,A00T",U pgrade to Toxic Assassin,486,1,6,552.2,2.50,1380.5,4.66,0.48,2.22,,250,1630.5,3.21,basic attack,map,2,yes,yes,"air,enemies,ground,nonancient","enemies,ground,nonancient","air,enemies,nonancient",1630.5,2697.5
Mercurial Predator,h020,1,550,1,,Unrivaled Destroyer,Air Deficiency (A009); Hunter's Fervor (ACcl),"air,enemies,ground,nonancient",2110,2110,2110.0,0.4,350,,5275.0,,,,,,,,,,,3000,0,missile,2109,1,1,normal,hhou,"A028,A009,ACcl",Build Mercurial Predator ( C ),,,,5275,1.00,5275.0,9.59,0.23,2.24,,,5275.0,4.63,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,5275.0,5275.0
Unrivaled Destroyer,h004,2,750,1,Mercurial Predator,,Hunter's Fervor (ACcl); Ground Critical Strike II (A00A),"air,enemies,ground,nonancient",4000,4015,4007.5,0.45,350,,8905.6,,,,,,,,,,7,3500,0,missile,3999,1,16,normal,hhou,"ACcl,A028,A00A",U pgrade to Unrivaled Destroyer,,,,8905.6,1.00,8905.6,11.87,0.23,2.77,,,8905.6,5.73,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient","air,enemies,ground,nonancient",,8905.6,8905.6
