unit_id,name,cost_gold,cost_lumber,food,atk1_min,atk1_max,atk1_mean,atk1_cooldown,atk1_dps,atk1_range,atk1_type,atk1_weapon,atk1_base,atk1_dice,atk1_sides,atk1_type_resolved,base_unit,atk2_min,atk2_max,atk2_mean,atk2_cooldown,atk2_dps,atk2_range,atk2_type,atk2_base,atk2_dice,atk2_sides,armour_type,armour_value,hp,abilities,tooltip,hero,obs_owner_label,obs_notes,traits,dps_raw,crit_multiplier,dps_with_crit,on_hit_dps,dot_dps,dps_total_est,dps_per_gold,dps_per_gold_x_range,coverage_vs_725,dps_per_gold_coverage_adj,dps_source,cost_source
h04I,Equipped Peasant 1,10,0,,19,21,20.0,0.6,33.3,125,,normal,18,1,3,normal,hhou,,,,,,,,,,,,0,1250,"A03C,A028",,,,,Vindicator II (A03C); Sell Tower (A028),33.3,3.50,116.5,,,116.5,11.65,2.01,0.03,0.35,basic attack,map
h03P,Equipped Peasant 2,10,0,,20,22,21.0,0.6,35.0,125,,normal,19,1,3,normal,hhou,,,,,,,,,,,,0,1500,"A03C,A004,A028",,,,,Vindicator II (A03C); Versatile Critical Strike I (A004); Sell Tower (A028),35,3.50,122.5,,,122.5,12.25,2.11,0.03,0.36,basic attack,map
h04O,Equipped Peasant 3,10,0,,22,26,24.0,0.6,40.0,125,,normal,21,1,5,normal,hhou,,,,,,,,,,,,1,1750,"A03C,A01E,A028",,,,,Vindicator II (A03C); Versatile Critical Strike II (A01E); Sell Tower (A028),40,3.50,140.0,,,140.0,14.00,2.41,0.03,0.42,basic attack,map
h04P,Equipped Peasant 4,10,0,,25,31,28.0,0.6,46.7,125,,normal,24,1,7,normal,hhou,,,,,,,,,,,,2,2000,"A02Z,A01E,A028",,,,,Vindicator III (A02Z); Versatile Critical Strike II (A01E); Sell Tower (A028),46.7,5.50,256.9,,,256.9,25.69,4.43,0.03,0.76,basic attack,map
h04Q,Equipped Peasant 5,10,0,,39,47,43.0,0.6,71.7,125,,normal,38,1,9,normal,hhou,,,,,,,,,,,,4,2250,"ANbh,A02Z,A01E,A028",,,,,Bash I (ANbh); Vindicator III (A02Z); Versatile Critical Strike II (A01E); Sell Tower (A028),71.7,5.50,394.4,16.7,,411.0,41.10,7.09,0.03,1.22,basic attack,map
h00R,Exiled Soul,60,0,,55,57,56.0,0.2,280.0,600,chaos,missile,54,1,3,chaos,hhou,,,,,,,,,,,,2,1500,"A03W,A028,Afra",Up g rade to Exiled Soul,,,,Regeneration (A03W); Sell Tower (A028); Frost I (Afra),280,1.00,280.0,,,280.0,4.67,3.86,0.68,3.20,basic attack,map
h00H,Footman,45,0,,85,89,87.0,0.3,290.0,125,,normal,84,1,5,normal,hhou,,,,,,,,,,,,1,1250,"ANbh,A028",U pgrade to Footman,,,,Bash I (ANbh); Sell Tower (A028),290,1.00,290.0,33.3,,323.3,7.19,1.24,0.03,0.21,basic attack,map
h03O,Heartseeker,45,0,,23,28,25.5,0.5,51.0,1150,chaos,instant,22,1,6,chaos,hhou,,,,,,,,,,,,2,1500,"Afbb,Aabr,AIva,A01E,A028",U pgrade to Heartseeker,,,,Sunder Armor (Afbb); (Dummy Ability - Life Steal) (Aabr); AIva (AIva); Versatile Critical Strike II (A01E); Sell Tower (A028),51,2.05,104.5,,,104.5,2.32,3.69,2.52,5.85,basic attack,map
h048,Krotas,1325,0,1,851,858,854.5,0.33,2589.4,1500,chaos,missile,850,1,8,chaos,hhou,,,,,,,,,,,,,2500,"ANcl,A004,A02X,A014,A028",Up g rade to Krotas - 1325,,,,Activate / Deactivate Mana Detection (ANcl); Versatile Critical Strike I (A004); Gooify (A02X); Combustion (A014); Sell Tower (A028),2589.4,1.52,3948.8,,,3948.8,2.98,6.17,4.28,12.76,basic attack,map
h047,Von Chillspeak,1225,0,1,12000,12000,12000.0,2.0,6000.0,1150,chaos,missile,11999,1,1,chaos,hhou,,,,,,,,,,,,,2500,"ANcl,Afrz,Aap1,AIm2,A028",U pgrade to Von Chillspeak - 1225,,,,Activate / Deactivate Mana Detection (ANcl); Stone Cold (Afrz); Grounding Curse (Aap1); Cold Snap (AIm2); Sell Tower (A028),6000,1.00,6000.0,,1000,7000.0,5.71,9.06,2.52,14.38,basic attack,map
