name,unit_id,tier,cost_gold,food,upgrades_from,upgrades_to,traits,targets,atk1_min,atk1_max,atk1_mean,atk1_cooldown,atk1_range,atk1_type,atk1_dps,atk2_min,atk2_max,atk2_mean,atk2_cooldown,atk2_range,atk2_type,atk2_dps,splash_targets,armour_type,armour_value,hp,cost_lumber,atk1_weapon,atk1_base,atk1_dice,atk1_sides,atk1_type_resolved,base_unit,abilities,tooltip,atk2_base,atk2_dice,atk2_sides,sources,obs_owner_label,obs_notes,dps_raw,crit_multiplier,dps_with_crit,dps_per_gold,coverage_vs_725,dps_per_gold_coverage_adj
Grayson's Fort Buster,h03C,1,175,1,,,Fortitude; Ground Splash,"air,enemies,ground,nonancient",1501,1505,1503.0,0.7,700,siege,2147.1,,,,,,,,"enemies,ground,nonancient",,10,2750,0,msplash,1500,1,5,siege,hhou,"A047,A028,A01W",Build Grayson's Fort Buster ( R ),,,,,,,2147.1,1.00,2147.1,12.27,0.93,11.44
Stealth Maiden,h02M,1,35,0,,Loki,Ground Critical Strike I,"air,enemies,ground,nonancient",44,50,47.0,0.4,550,hero,117.5,,,,,,,,,,1,1250,0,missile,43,1,7,hero,hhou,"A003,A028",Build Stealth Maiden ( Q ),,,,,D1,"HERO attack type - a third attack type after magic and chaos, and stock WC3 Hero damage takes reduced penalties from most armour types.",117.5,1.35,158.6,4.53,0.58,2.61
Loki,h02H,2,,0,Stealth Maiden,,Ground Critical Strike I; Slow Poison I (Aspo),"air,enemies,ground,nonancient",136,143,139.5,0.5,975,hero,279.0,,,,,,,,,,2,1500,,,,,,,,,,,,,,D1,"x2.9 damage over its base and nearly DOUBLE the range (550 -> 975), which is the biggest range gain recorded on any upgrade.",279,1.35,376.7,,1.81,
Tyr's Spirit,h02G,1,155,0,,Odin's Soul,Bash I (ANbh); Slow Poison I (Aspo),"air,enemies,ground,nonancient",194,194,194.0,0.5,700,hero,388.0,,,,,,,,,,3,1500,0,missile,193,1,1,hero,hhou,"ANbh,A028,Aspo",Build Tyr's Spirit ( W ),,,,,,,388,1.00,388.0,2.50,0.93,2.33
Odin's Soul,h02F,2,255,0,Tyr's Spirit,,Boss Assassin I; Splash,"air,enemies,ground,nonancient",1260,1268,1264.0,0.8,700,hero,1580.0,,,,,,,,"air,enemies,ground,nonancient",,4,2000,0,msplash,1259,1,9,hero,hhou,"A03D,A021,A028",U pgrade to Odin's Soul,,,,,D3,"STRONGEST TOWER RECORDED IN ANY KIT: 34.19 range-adjusted vs heroes, ahead of Absolute Zero (26.60) and Arcadia (23.90). FULL TRAIT SWAP: Tyr Spirit carried Bash I + slow poison I; this carries Boss Assassin I + splash - BOTH traits replaced, not merely one, alongside x6.5 damage. Also CONFIRMS Boss Assassin I at 50% x4 vs heroes, which had been inferred from the II tier.",1580,1.00,1580.0,6.20,0.93,5.78
Peppy Bronzebeard,h02I,1,295,0,,Sky Sweeper,Slow Poison III,"air,enemies,ground,nonancient",891,891,891.0,0.6,700,hero,1485.0,,,,,,,,,,,1750,0,missile,890,1,1,hero,hhou,"A028,A00T",Build Peppy Bronzebeard ( E ),,,,,,,1485,1.00,1485.0,5.03,0.93,4.69
Sky Sweeper,h02R,2,340,0,Peppy Bronzebeard,,Splash; Air Critical Strike II,"enemies,ground,nonancient",776,780,778.0,0.45,650,hero,1728.9,326,330,328.0,0.17,650,magic,1929.4,"enemies,ground,nonancient",,6,2250,0,msplash,775,1,5,hero,hhou,"A028,A021,A006",U pgrade to Sky Sweeper,325,1,5,,,"ONLY DUAL-ATTACK-TYPE TOWER RECORDED: it deals hero AND magic damage in the same volley. That is a HEDGE AGAINST THE ARMOUR MATRIX - against a pure-hero tower of the same total damage it is -9% on Medium, level on Heavy, and +15% on FORTIFIED where hero damage is halved. So it trades peak for floor: it can never be fully countered by armour type. ASSUMPTION: both profiles fire each cycle. If they alternate, halve every figure here - worth confirming. 20.83 vs air on the both-fire reading.",1728.9,2.50,4322.2,12.71,0.80,10.22
Ignatious,h02O,1,75,0,,Prince Delphian,Air Slow Poison; Boss Assassin II,"air,enemies,ground,nonancient",87,87,87.0,0.55,700,magic,158.2,,,,,,,,,,1,1250,0,missile,86,1,1,magic,hhou,"A03X,A00R,A028",Build Ignatious ( A ),,,,,D2,"The 70% slow is the strongest slow recorded anywhere - Poison II is 40%. Note it is AIR slow poison, so the tower answers air by CONTROL while answering bosses by DAMAGE.",158.2,1.00,158.2,2.11,0.93,1.97
Prince Delphian,h02N,2,135,0,Ignatious,,Splash; Air Critical Strike I,"air,enemies,ground,nonancient",166,168,167.0,0.4,700,magic,417.5,,,,,,,,"air,enemies,ground,nonancient",,2,1500,0,msplash,165,1,3,magic,hhou,"A021,A028,A005",U pgrade to Prince Delphian,,,,,D2,"TRAIT SWAP - CONFIRMED by the owner 2026-09-05. The upgrade TRADES Boss Assassin II for Air Critical Strike I: it stops being the anti-boss tower and becomes an anti-air one. So an upgrade here is a ROLE decision, not a power decision. Note the efficiency consequence: Ignatious is 14.40 range-adjusted vs heroes, Prince Delphian is 4.27 vs air - upgrading is a straight LOSS unless you need the role it swaps to.",417.5,1.25,521.9,3.87,0.93,3.60
High Priest,h02Q,1,175,0,,Martyr,Vindicator II; Cure II; Judgement,"air,enemies,ground,nonancient",280,280,280.0,0.6,700,magic,466.7,,,,,,,,,,3,1750,0,missile,279,1,1,magic,hhou,"A03C,A03V,A028,A00N",Build High Priest ( S ),,,,,D5,"Unlock confirmed by the owner 2026-09-05. THREE named traits on one tower - the most recorded, and the clearest single piece of evidence that towers are ASSEMBLED from a shared library rather than authored as bespoke stat blocks. Two of the three match towers in OTHER kits: Vindicator II (50% x6 attacking) is what the treant Arcadia has been carrying unnamed, and Judgement (100 dps vs air) is the same 100 dps as Little Jack's tornado, at 20s here against 10s there. 15.45 range-adjusted vs attacking, 4.41 untyped.",466.7,3.50,1633.5,9.33,0.93,8.70
Martyr,h02L,2,260,0,High Priest,,Cure II; Vindicator III; Judgement; Air Critical Strike II,"air,enemies,ground,nonancient",313,320,316.5,0.25,900,magic,1266.0,,,,,,,,,,4,2000,0,missile,312,1,8,magic,hhou,"A03V,A02Z,A00N,A028,A006",U pgrade to Martyr,,,,,D5,"SECOND-STRONGEST TOWER RECORDED (23.75 vs attacking, behind only Odin's Soul at 34.19) AND genuinely dual-role at 10.79 vs air. Four named traits, the most on any tower. Against its base High Priest it keeps Cure II and Judgement, tier-bumps Vindicator II -> III, and adds Air Critical Strike II - three kinds of edit in one upgrade.",1266,5.50,6963.0,26.78,1.54,41.27
Petrified Cell,h02P,1,300,0,,D-String,Fortitude; Splash; Frost I (Afra),"air,enemies,ground,nonancient",600,600,600.0,1.0,700,hero,600.0,,,,,,,,"air,enemies,ground,nonancient",,8,3000,0,msplash,599,1,1,hero,hhou,"A047,A028,A021,Afra",Build Petrified Cell ( C ),,,,,,,600,1.00,600.0,2.00,0.93,1.86
D-String,h02K,2,449,0,Petrified Cell,,Fortitude; Splash; Frost II; Versatile Critical Strike II,"air,enemies,ground,nonancient",326,327,326.5,0.25,800,hero,1306.0,,,,,,,,"air,enemies,ground,nonancient",,9,3250,0,msplash,325,1,2,hero,hhou,"A047,A028,A021,A002,A01E",U pgrade to D-String,,,,,,"AN UPGRADE THAT LOWERS RAW DAMAGE: Petrified Shell is 600, this is 326 (-46%). It wins it back through crit RELIABILITY - Versatile II at 65% x2.75 gives an expected hit of 698 vs the base 600, so +16% despite the smaller number. VERSATILE II = 65% x2.75 against I's 35% x2.5: the CHANCE nearly doubled while the multiplier barely moved, so this tier scales reliability rather than peak. FROST TIERS SCALE DURATION, not the slow value (owner) - different again from Slow Poison, where both dps and slow% moved. So the scaling AXIS is per-trait too, not just the rate. Very rapid at 800 range gives 4.90 range-adjusted - and since Versatile hits ALL units, that applies on EVERY wave rather than on a schedule.",1306,2.05,2677.3,5.96,1.22,7.26
K Dig,h02J,1,105,0,,Xavier,Healing Wave (ANhw); Weak Ground Splash; Air Deficiency,"air,enemies,ground,nonancient",79,83,81.0,0.25,700,siege,324.0,,,,,,,,"enemies,ground,nonancient",,1,1500,0,msplash,78,1,5,siege,hhou,"ANhw,A028,A01V,A009",Build K Dig ( Z ),,,,,start,"THREE firsts. (1) SIEGE attack type - fourth after magic, chaos and hero. (2) AIR DEFICIENCY is the first NEGATIVE trait recorded: 25% of hits deal quarter damage vs air, so it does 81.2% damage to air. The trait library contains DRAWBACKS, not only bonuses. (3) STRUCTURAL: DIRECTLY AVAILABLE - a third starting tower alongside D1 and D2. The owner first called it ""T3"" meaning third-available, then clarified the D3 slot is Tyr Spirit, so this sits outside the numbered progression. Low output (2.13 range-adj) - like Slammer, a UTILITY tower bought for its multi-target heal.",324,1.00,324.0,3.09,0.93,2.88
Xavier,h02E,2,165,0,K Dig,,Healing Wave (ANhw); Machine Critical Strike; Ground Splash,"air,enemies,ground,nonancient",308,316,312.0,0.45,900,siege,693.3,,,,,,,,"enemies,ground,nonancient",,2,1750,0,msplash,307,1,9,siege,hhou,"ANhw,A03Y,A028,A01W",U pgrade to Xavier,,,,,start,"A huge step over K-Dig: damage x3.9 (81 -> 312), range 700 -> 900, and 2.13 -> 13.41 range-adjusted vs mechanical. The upgrade KEEPS the heal (owner-confirmed) and ADDS Machine Critical Strike, so this kit does all three upgrade flavours - Ignatious SWAPS a trait, this one KEEPS and ADDS. CONFIRMED 2026-09-05: the upgrade REMOVES Air Deficiency. So this kit demonstrates all THREE upgrade flavours - Ignatious swaps a trait away, Xavier keeps one, adds one, and drops a drawback. ""Remove a negative"" is a real upgrade payoff here.",693.3,1.80,1247.9,7.56,1.54,11.66
Captain Bartlebee,h02D,1,285,0,,Delphinus,Bash II (ACbh); Versatile Critical Strike I,"air,enemies,ground,nonancient",357,364,360.5,0.5,350,hero,721.0,,,,,,,,,,3,2000,0,normal,356,1,8,hero,hhou,"ACbh,A028,A004",Build Captain Bartlebee ( X ),,,,,,"Its Versatile Critical Strike is tier I, confirmed 2026-09-05 as identical to Delphinus's (35% x2.5). BUY IT FOR PERMANENT STUN, NOT DAMAGE. Bash II on a very-rapid chassis procs every ~1.75s against a 2s stun, so it holds ~100% STUN UPTIME on ground non-hero units. The treant Battleship Mackinaw carries the SAME Bash II on medium fire and gets only ~40% - the same library entry worth ~2.5x more here, purely from fire rate. Damage reads a poor 2.89 range-adjusted because its 350 range is the WORST recorded in any kit (coverage 0.48). VERSATILE CRITICAL STRIKE is the first crit recorded that hits ALL units, so its 35% x2.5 applies on every wave rather than on a schedule.",721,1.52,1099.5,3.86,0.23,0.90
Delphinus,h02C,2,325,0,Captain Bartlebee,,Moon Stone Cannon (ACsh); Rail Driver; Vacuum Torpedo; Versatile Critical Strike I,"air,enemies,ground,nonancient",665,669,667.0,0.25,700,hero,2668.0,,,,,,,,,,4,2500,0,missile,664,1,5,hero,hhou,"A028,ACsh,A00O,A00P,A004",U pgrade to Delphinus,,,,,,"CORRECTED 2026-09-05: it KEEPS Versatile Critical Strike (tier I) and has THREE spells, not four. An earlier note here said it had no crit and a full trait wipe - wrong on both. It drops only BASH II. Since Versatile hits ALL units, its 8.63 applies on every wave. CONFIRMED 2026-09-05: Bartlebee and Delphinus carry the SAME Versatile Critical Strike I (35% x2.5), so the upgrade keeps the trait flat and adds mana and spells on top. RAIL DRIVER IS AN EXECUTE, and executes scale with the HP ramp instead of falling behind it: worth 335 damage at wave 5 and 6300 at wave 20, so it goes from a quarter of Moon Tone Cannon's value to FIVE TIMES it with no scaling text anywhere. ANSWERS THE TIER-1 QUESTION: it does NOT keep Bash II, so the K-Dig line stops being the stun answer - though Vacuum Torpedo's 8s AoE slow keeps it a CONTROL tower, changing the mechanism rather than the job. FIRST MANA TOWER outside the Archimonde hero, so mana is a per-tower property rather than a whole-hero identity.",2668,1.52,4068.7,12.52,0.93,11.67
Cloud Buster,h02A,1,440,0,,Shrine of Isis,Vindicator I; Air Critical Strike II,"air,enemies,ground,nonancient",681,685,683.0,0.4,1200,magic,1707.5,,,,,,,,,,,1750,0,missile,680,1,5,magic,hhou,"A02Y,A028,A006",Build Cloud Buster ( D ),,,,,,"LONGEST RANGE RECORDED IN ANY KIT at 1200 (coverage 1.66 vs the 725 baseline), and that range is most of why it scores 18.35 vs air - third overall behind Odin's Soul 34.19 and Absolute Zero 26.60, and by far the Royal Family's best air answer (Martyr is 10.79). TIER IS NOT A POWER LADDER: 440g and deeper than Martyr, yet carries Vindicator I where the 260g Martyr carries Vindicator III - a new tower unlocked by Martyr, not its upgrade. Vindicator I's multiplier is still unread, so the vs-attacking figure is uncomputed.",1707.5,2.50,4268.8,9.70,2.74,26.58
Shrine of Isis,h02B,2,560,0,Cloud Buster,,Aviary Degeneration; Air Critical Strike III,"air,enemies,ground,nonancient",870,882,876.0,0.7,750,magic,1251.4,,,,,,,,,,6,2500,0,missile,869,1,13,magic,hhou,"A028,A024,A00U",U pgrade to Shrine of Isis,,,,,,"AVIARY DEGENERATION RESOLVED: a 20% AURA SLOW on nearby AIR units - a debuff applied to enemies, not a self-penalty. FIRST TOWER AURA recorded; the only other aura seen anywhere is the wave-15 boss armour aura. AIR CRITICAL STRIKE III completes that curve at 50% x7 (I x1.5 -> II x4 -> III x7). ⚠️ CAVEAT: air waves carry LIGERA/LIGHT armour and the Light matrix row is NOT captured. This tower is MAGIC, so if magic is weak into Light the 18.39 overstates it on precisely the waves it exists for. Cloud Buster's upgrade; gates Lilliana May.",1251.4,4.00,5005.6,8.94,1.07,9.57
Lilianna Mai,h029,1,850,1,,Astral Skibi,Divine Shield (AHds); Gravity Well,"air,enemies,ground,nonancient",1000,1455,1227.5,0.25,900,hero,4910.0,,,,,,,,,,8,3000,0,missile,995,5,92,hero,hhou,"AHds,A028,A00V",Build Lilianna Mai ( F ),,,,,,,4910,1.00,4910.0,5.78,1.54,8.90
Astral Skibi,h024,2,1075,1,Lilianna Mai,,Divine Shield (AHds); Gravity Well; Absolution; Boss Assassin II,"enemies,ground,nonancient",5000,5000,5000.0,1.5,600,hero,3333.3,5000,5000,5000.0,1.5,800,magic,3333.3,,,10,3500,0,missile,4999,1,1,hero,hhou,"AHds,A00V,A028,A00S,A00R",U pgrade to Astral Skibi,4999,1,1,,,"THE CAPSTONE, AND IT HAS NO WEAKNESS. Two crits covering complementary target classes: ABSOLUTION at 50% x25 vs NON-BOSS (the largest multiplier recorded anywhere - previous max was Vindicator III x10) and BOSS ASSASSIN II at 50% x8 vs heroes. So it shreds hordes AND handles bosses. It also carries DUAL ATTACK TYPES like Sky Sweeper, hedging the armour matrix, but with DIFFERENT RANGES per profile (600 hero / 800 magic) - the only tower recorded where the two profiles differ in range. Plus both of Lilliana May's spells. 198.29 range-adjusted vs non-boss against a previous best of 42.74 anywhere in the capture. FOOD: the upgrade itself adds no food cost, but the BASE tower's slot stays consumed (owner 2026-09-05) - so this still occupies 1 of the 5. An earlier note here said the upgrade frees a slot; that was wrong. That is what ~6389g across all three lines plus a permanent food slot buys.",3333.3,1.00,3333.3,3.10,0.68,2.12
Tyr Spirit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand capture only — no extracted counterpart,D3,"Unlock confirmed by the owner 2026-09-05. BOUGHT FOR THE STUN, NOT THE DAMAGE. At very rapid fire a 20% proc lands every ~1.75s and the stun lasts 1.5s, so it holds ~86% STUN UPTIME on non-hero ground units - near-permanent lockdown. Damage is a modest 3.63 range-adjusted. BASH is a named tier trait: the treant Battleship Mackinaw carries a higher one (20%, +235, 2.0s, non-boss) - same 20% chance and same shape, and its ""non-boss"" is the same exclusion as this one's ""non-hero"".",,1.00,,,,
Royal Base II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand capture only — no extracted counterpart,,"NOT A TOWER and not a ""base tower"" either - it is an upgrade purchased at the HERO SELECTION BUILDING (owner 2026-09-05). At 50g it is a pure tech gate for Peepy Bronzebeard, Cloud Buster, Lilliana May and Petrified Shell. It has no stat block to collect. The mechanism is per-hero: the Tempest Hawk has no equivalent.",,1.00,,,,
Peepy Bronzebeard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hand capture only — no extracted counterpart,,"NO CRIT - untyped damage, so its 8.33 applies on EVERY wave rather than on a schedule, unlike most elite towers here. SLOW POISON III is the headline: 260 dps and 65% slow. The 260 dps alone out-damages several whole towers (treant Machination 54 dps, hawk Lasher 74 dps), so at tier III a debuff is worth more than a cheap tower. Completes the Slow Poison curve: 4 -> 36 -> 260 dps, 25% -> 40% -> 65% slow.",,1.00,,,,
