name,unit_id,tier,cost_gold,food,upgrades_from,upgrades_to,traits,targets,atk1_min,atk1_max,atk1_mean,atk1_cooldown,atk1_range,atk1_type,atk1_dps,atk2_min,atk2_max,atk2_mean,atk2_cooldown,atk2_range,atk2_type,atk2_dps,splash_targets,armour_type,armour_value,hp,cost_lumber,atk1_weapon,atk1_base,atk1_dice,atk1_sides,atk1_type_resolved,base_unit,abilities,tooltip,dps_raw,crit_multiplier,dps_with_crit,dps_per_gold,coverage_vs_725,dps_per_gold_coverage_adj,on_hit_dps,dot_dps,dps_total_est,dps_per_gold_x_range,dps_source,cost_source,attack_count,hits_air,hits_ground,targets_all
Repel,h039,1,25,0,,Corruption,Repel Aura (A03Q); Vindicator III (A02Z),"air,enemies,ground,nonancient",33,37,35.0,0.55,1300,,63.6,,,,,,,,,,0,1000,0,missile,32,1,5,normal,hhou,"A03Q,A02Z,A028",Build Repel ( Q ),63.6,5.50,349.8,13.99,3.22,44.99,,,349.8,25.09,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Corruption,h02Y,2,35,0,Repel,,Fortitude (A047); Slow Poison I (Aspo),"air,enemies,ground,nonancient",60,64,62.0,0.6,1300,,103.3,,,,,,,,,,4,1750,0,missile,59,1,5,normal,hhou,"A047,A028,Aspo",U pgrade to Corruption,103.3,1.00,103.3,3.07,3.22,9.86,,4,107.3,5.50,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Holy Fire Launcher,h038,1,205,0,,Foxfire Laser,Air Critical Strike I (A005),"air,enemies,ground,nonancient",186,192,189.0,0.33,1300,chaos,572.7,,,,,,,,"air,enemies,ground,nonancient",,3,1500,0,missile,185,1,7,chaos,hhou,"A028,A005",Build Holy Fire Launcher ( W ),572.7,1.25,715.9,3.49,3.22,11.23,,,715.9,6.26,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Foxfire Laser,h03A,2,235,0,Holy Fire Launcher,,Foxfire Laser (AUcs),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,"air,enemies,ground,nonancient",,2,1250,,,,,,,,,,217.5,1.00,217.5,0.93,,,,,217.5,,"caster: Foxfire Laser (sustained, mana-limited)",map,1,yes,yes,"air,enemies,ground,nonancient"
Sapphire Ward,h031,1,55,0,,Purity Ward,Improved Ward (S001); Slow Aura I (A03M); Supine Hex I (A01B),"air,enemies,ground,nonancient",76,81,78.5,0.38,950,chaos,206.6,,,,,,,,"air,enemies,ground,nonancient",,1,1750,0,instant,75,1,6,chaos,hhou,"S001,A03M,A028,A01B",Build Sapphire Ward ( E ),206.6,1.00,206.6,3.76,1.72,6.45,,,206.6,4.92,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Purity Ward,h032,2,90,0,Sapphire Ward,,Improved Ward (S001); Slow Aura II (A03N); Supine Hex II (A01C),"air,enemies,ground,nonancient",201,206,203.5,0.38,1050,chaos,535.5,,,,,,,,"air,enemies,ground,nonancient",,2,2250,0,instant,200,1,6,chaos,hhou,"S001,A03N,A028,A01C",U pgrade to Purity Ward,535.5,1.00,535.5,5.95,2.10,12.48,,,535.5,8.62,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Ochre Ward,h02X,1,95,0,,Scarlet Ward,Sloth I (A01I),"air,enemies,ground,nonancient",148,157,152.5,1.0,1200,,152.5,,,,,,,,,,1,1500,0,instant,147,1,10,normal,hhou,"A028,A01I",Build Ochre Ward ( R ),152.5,1.00,152.5,1.61,2.74,4.40,,,152.5,2.66,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Scarlet Ward,h02Z,2,145,0,Ochre Ward,,Supreme Splash (A01Z); Sloth II (A01A),"air,enemies,ground,nonancient",161,169,165.0,0.75,1300,,220.0,,,,,,,,"air,enemies,ground,nonancient",,2,1750,0,msplash,160,1,9,normal,hhou,"A028,A01Z,A01A",U pgrade to Scarlet Ward,220,1.00,220.0,1.52,3.22,4.88,,,220.0,2.72,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Bombardment,h03B,1,140,0,,Interceptor Factory,Missile Salvo I (A03R),"air,enemies,ground,nonancient",450,450,450.0,1.5,1100,chaos,300.0,,,,,,,,"air,enemies,ground,nonancient",,3,1250,0,missile,449,1,1,chaos,hhou,"A03R,A028",Build Bombardment ( A ),300,1.00,300.0,2.14,2.30,4.93,,,300.0,3.25,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Interceptor Factory,h033,2,240,0,Bombardment,,Missile Salvo II (A03S),"air,enemies,ground,nonancient",1200,1200,1200.0,1.5,1200,chaos,800.0,,,,,,,,"air,enemies,ground,nonancient",,4,1500,0,missile,1199,1,1,chaos,hhou,"A03S,A028",U pgrade to Interceptor Factory,800,1.00,800.0,3.33,2.74,9.13,,,800.0,5.52,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Kazaana,h034,1,280,0,,Star Buster,Fury of the Gods (ACmo),"air,enemies,ground,nonancient",,,,,,,,,,,,,,,"air,enemies,ground,nonancient",,3,2250,,,,,,,,,,29,1.00,29.0,0.10,,,,,29.0,,"caster: Fury of the Gods (sustained, mana-limited)",map,1,yes,yes,"air,enemies,ground,nonancient"
Star Buster,h035,2,325,0,Kazaana,,Starburst (AEsf),"air,enemies,ground,nonancient",560,566,563.0,1.2,1300,magic,469.2,,,,,,,,,,4,2250,0,missile,559,1,7,magic,hhou,"A028,AEsf",U pgrade to Star Buster,469.2,1.00,469.2,1.44,3.22,4.64,,,469.2,2.59,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Protection Ward,h02U,1,140,0,,Roseate Ward,Toughness Aura I (AHad); Cure All (A00X),"air,enemies,ground,nonancient",251,257,254.0,0.8,1300,pierce,317.5,,,,,,,,"air,enemies,ground,nonancient",,,2000,0,missile,250,1,7,pierce,hhou,"AHad,A028,A00X",Build Protection Ward  ( D ),317.5,1.00,317.5,2.27,3.22,7.29,,,317.5,4.07,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Roseate Ward,h02W,2,160,0,Protection Ward,,Toughness Aura II (A03P); Cure All (A00X),"air,enemies,ground,nonancient",646,652,649.0,0.8,1300,pierce,811.2,,,,,,,,"air,enemies,ground,nonancient",,,2500,0,missile,645,1,7,pierce,hhou,"A03P,A028,A00X",U pgrade to Roseate Ward,811.2,1.00,811.2,5.07,3.22,16.30,,,811.2,9.09,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Lilac Ward,h02T,1,185,0,,Malachite Ward,Improved Ward (S001); Boss Assassin I (A03D); Curse Boss I (A01H),"air,enemies,ground,nonancient",279,285,282.0,0.6,1450,hero,470.0,,,,,,,,"air,enemies,ground,nonancient",,3,1750,0,missile,278,1,7,hero,hhou,"S001,A03D,A028,A01H",Build Lilac Ward ( F ),470,1.00,470.0,2.54,4.00,10.16,,,470.0,5.08,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Malachite Ward,h02S,2,215,0,Lilac Ward,,Improved Ward (S001); Boss Assassin I (A03D); Uber Splash (A022); Curse Boss II (A01G),"air,enemies,ground,nonancient",426,432,429.0,1.0,1450,hero,429.0,,,,,,,,"air,enemies,ground,nonancient",,4,2000,0,msplash,425,1,7,hero,hhou,"S001,A03D,A028,A022,A01G",U pgrade to Malachite Ward,429,1.00,429.0,2.00,4.00,7.98,,,429.0,3.99,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Porcus Maximus,h030,1,650,0,,,Multiple Shot (A01M),"air,enemies,ground,nonancient",956,971,963.5,1.0,1500,hero,963.5,,,,,,,,"air,enemies,ground,nonancient",,8,3500,0,mbounce,955,1,16,hero,hhou,"A028,A01M",Build Porcus Maximus ( Z ),963.5,1.00,963.5,1.48,4.28,6.35,,,963.5,3.07,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Earth's Blood,h036,1,555,0,,,Vindicator I (A02Y); Air Deficiency (A009); Uber Ground Splash (A01X),"air,enemies,ground,nonancient",2150,2150,2150.0,2.0,1300,siege,1075.0,,,,,,,,"enemies,ground,nonancient",,,2750,0,msplash,2149,1,1,siege,hhou,"A02Y,A028,A009,A01X",Build Earth's Blood ( X ),1075,2.25,2418.8,4.36,3.22,14.01,,,2418.8,7.81,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Icy Skewer,h037,1,895,1,,Glacial Spike,Bash III (A02E); Versatile Critical Strike I (A004),"air,enemies,ground,nonancient",4000,4000,4000.0,0.9,1100,chaos,4444.4,,,,,,,,,,6,3250,0,missile,3999,1,1,chaos,hhou,"A02E,A028,A004",Build Icy Skewer ( C ),4444.4,1.52,6777.7,8.19,2.30,18.85,550.0,,7327.7,12.42,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
Glacial Spike,h02V,2,935,1,Icy Skewer,,Improved Glacial Spike (S000); Boss Assassin I (A03D); Collapse (A019),"air,enemies,ground,nonancient",20000,20000,20000.0,1.5,1300,chaos,13333.3,,,,,,,,,,7,3500,0,instant,19999,1,1,chaos,hhou,"S000,A03D,A028,A019",U pgrade to Glacial Spike,13333.3,1.00,13333.3,14.26,3.22,45.85,,,13333.3,25.57,basic attack,map,1,yes,yes,"air,enemies,ground,nonancient"
