name,unit_id,tier,cost_gold,food,upgrades_from,upgrades_to,traits,targets,atk1_min,atk1_max,atk1_mean,atk1_cooldown,atk1_range,atk1_type,atk1_dps,atk1_dps_per_gold_range_adj,atk2_min,atk2_max,atk2_mean,atk2_cooldown,atk2_range,atk2_type,atk2_dps,atk2_dps_per_gold_range_adj,splash_targets,armour_type,armour_value,hp,cost_lumber,atk1_weapon,atk1_base,atk1_dice,atk1_sides,atk1_type_resolved,base_unit,abilities,tooltip,atk2_base,sources,obs_owner_label,obs_notes
Machination,h003,1,15,0,,Shrapnel Shooter,Fortitude; Vindicator I; Weak Ground Splash,"air,enemies,ground,nonancient",19,19,19.0,0.75,725,siege,25.3,1.69,,,,,,,,,"enemies,ground,nonancient",,8,1750,0,msplash,18,1,1,siege,hhou,"A047,A02Y,A028,A01V",Build Machination ( Q ),,,D1,"SIEGE attack type (owner 2026-09-06): 160% vs Fortified (waves 3/8/13/18), 85% vs Hero (boss waves), 100% vs Heavy. Starter. Its UPGRADE is what unlocks T3 and T4."
Shrapnel Shooter,h00G,2,40,0,Machination,,Fortitude; Ground Splash,"air,enemies,ground,nonancient",58,58,58.0,0.55,700,siege,105.5,2.55,,,,,,,,,"enemies,ground,nonancient",,8,2000,0,msplash,57,1,1,siege,hhou,"A047,A028,A01W",U pgrade to Shrapnel Shooter,,,D1,"SIEGE attack type (owner 2026-09-06): 160% vs Fortified (waves 3/8/13/18), 85% vs Hero (boss waves), 100% vs Heavy. NO CRIT (owner-confirmed 2026-09-06) - only ground splash and Fortitude. Its 4.00 was previously flagged as a floor pending unknown crit values; there are none, so the figure stands as final. Unlocks BOTH Kill Crank and Spike Shooter."
Spike Shooter,h025,1,100,0,,Gigas Spike,Boss Assassin I; Ground Splash,"air,enemies,ground,nonancient",111,111,111.0,0.45,600,chaos,246.7,2.04,,,,,,,,,"enemies,ground,nonancient",,,1500,0,msplash,110,1,1,chaos,hhou,"A03D,A028,A01W",Build Spike Shooter ( W ),,,D4,"CHAOS attack type (owner 2026-09-06) - the kit's only one. In stock WC3 chaos deals 100% to every armour type, i.e. it ignores the matrix; UNVERIFIED for this map. If true it is the treant's only matrix-proof tower. RESOLVED 2026-09-05: the trait is named ""Boss Assassin"" but TARGETS HEROES - the owner read ""boss assassin II (50% x8 against heroes)"" on a Royal Family tower. So the earlier boss-vs-hero ambiguity was the GAME conflating them, not a transcription slip. Both readings were right. Anti-boss specialist. Low RAW dmg/gold (1.11) - the crit is what pays for it. "
Gigas Spike,h00Y,2,200,0,Spike Shooter,,Boss Assassin I; Uber Ground Splash,"air,enemies,ground,nonancient",215,215,215.0,0.45,900,siege,477.8,2.97,,,,,,,,,"enemies,ground,nonancient",,,1750,0,msplash,214,1,1,siege,hhou,"A03D,A028,A01X",U pgrade to Gigas Spike,,,,
Kill Crank,h00Z,1,115,0,,Massacre Machine,Ground Critical Strike I; Aspo,"air,enemies,ground,nonancient",343,348,345.5,0.6,350,siege,575.8,2.42,,,,,,,,,,,,1500,0,missile,342,1,6,siege,hhou,"A028,A003,Aspo",Build Kill Crank ( E ),,,D3,"RESOLVED 2026-09-06: its crit is vs GROUND, not vs all, and it carries Slow Poison I. 35% x2 vs ground is GROUND CRITICAL STRIKE I, the same named tier as Little Jack, Phlogiston, Stone Experiment, Stealth Maiden and Loki. The 4.14-5.59 span this row carried collapses to 5.59 vs ground (4.14 vs air, 8.95 on Fortified where siege is 160%). The long-running vs-ALL crit dispute is settled for THIS tower."
Massacre Machine,h010,2,205,0,Kill Crank,,Versatile Critical Strike I; Aspo,"air,enemies,ground,nonancient",321,329,325.0,0.4,600,siege,812.5,3.28,,,,,,,,,,,,1750,0,missile,320,1,9,siege,hhou,"A028,A004,Aspo",U pgrade to Massacre Machine,,,D3,"DISPUTE RESOLVED 2026-09-06: the vs-ALL crit is THIS tower's, and it is Versatile Critical Strike I - the same named tier as the Royal Family's Captain Bartlebee and Delphinus. The upgrade from Kill Crank is a crit SWAP: Ground Critical Strike I (35% x2 vs ground) becomes Versatile I (35% x2.5 vs ALL), so the expected multiplier goes 1.35 -> 1.525 vs ground and 1.00 -> 1.525 vs AIR. Slow Poison I carries over. THE TREANT'S ONLY UNTYPED CRIT: the kit is 9/15 siege with no air bonus and every other crit is target-restricted, so this is the one tower whose crit fires on every wave. That reframes the Kill Crank line as not just the Fortified line but the only one ending in wave-agnostic damage. 5.72 range-adjusted, and because Versatile is untyped that figure applies on EVERY wave rather than on a schedule - which is why it ranks higher in practice than its nominal position suggests. Against its base Kill Crank it carries LOWER damage (325 vs 345) but nearly DOUBLE the range (600 vs 350): the range is where the upgrade lives. ATTACK TYPE still unread; if siege like its base, 9.15 on Fortified and 4.86 on boss waves."
Phlogiston,h011,1,360,0,,,Ground Splash; Ground Critical Strike I,"air,enemies,ground,nonancient",502,502,502.0,0.45,800,,1115.6,3.42,,,,,,,,,"enemies,ground,nonancient",,,2250,0,msplash,501,1,1,normal,hhou,"A01W,A028,A003",Build Phlogiston ( R ),,,D7,"NORMAL attack type (owner 2026-09-06): 125% vs Medium, 100% Heavy, 75% Fortified, 95% Hero. TERMINAL - no upgrade; the end of the T3+T4 convergent line, reached at 1035g cumulative. Ranks POORLY on single-target gold efficiency (5.66 range-adjusted vs Little Jack's 8.74 at 195g): 85% dearer for 20% more damage. Its value is GROUND SPLASH, which these columns do not model - against 60-unit waves that is plausibly worth several times its single-target rating. Do not read its low rank as weak."
Sewer Barge,h012,1,40,0,,,Machine Critical Strike,"air,enemies,ground,nonancient",103,103,103.0,1.05,800,siege,98.1,2.71,,,,,,,,,,,6,1250,0,missile,102,1,1,siege,hhou,"A03Y,A028",Build Sewer Barge ( A ),,,D2,"SIEGE (owner 2026-09-06): 160% vs Fortified, 8.10 there against its nominal 5.06. Note its upgrade Sewage Surprise is MAGIC, so upgrading CHANGES the matchup profile - see that row. Starter. Its two upgrade branches are the run-defining fork."
Interceptor,h014,1,155,0,,Arcadia,Splash; Air Critical Strike I,"air,enemies,ground,nonancient",151,155,153.0,0.6,900,magic,255.0,2.04,,,,,,,,,"air,enemies,ground,nonancient",,6,1500,0,msplash,150,1,5,magic,hhou,"A028,A021,A005",Build Interceptor ( S ),,,D5,"MAGIC (owner 2026-09-06) - so the air line is built on the right type: magic is 140% vs Light, which the cycle puts on every air wave. 3.66 nominal becomes 5.12 on air waves. Base cost 155g inferred from the owner naming 'Interceptor' at 155g - the only unfilled base cost in the kit, and an anti-air name fits its 50% x1.5 vs air. Weak on its own; it is the GATE to its upgrade, the kit's strongest tower."
Arcadia,h013,2,250,0,Interceptor,,Fortitude; Vindicator II; Uber Splash; Air Critical Strike I,"air,enemies,ground,nonancient",825,825,825.0,1.5,900,magic,550.0,2.73,,,,,,,,,"air,enemies,ground,nonancient",,9,2500,0,msplash,824,1,1,magic,hhou,"A047,A03C,A028,A022,A005",U pgrade to Arcadia,,,D5,"MAGIC (owner 2026-09-06) - so the ENTIRE air branch is magic (Sewage Surprise, Interceptor, Arcadia), converted from the siege base. On AIR waves its 8.53 becomes 11.94 (Light, magic 140%). BUT its headline 23.90 vs attacking overstates the real case: attacker waves are 23, 32, 38, 45, and 23/38 are FORTIFIED where magic is 75%, giving 17.93 there. Only wave 32 (Heavy, 110%) reads above nominal at 26.29. VINDICATOR II IDENTIFIED 2026-09-05: the Royal Family High Priest names ""vindicator II (50% crit x6 against attacking units)"" - identical numbers, so this tower has been carrying Vindicator II unnamed. FIRST tower in the kit with TWO crit lines. Beats Mackinaw (22.07) on the 4 attacking waves (23/32/38/45) and is the best PASSIVE anti-air in the kit, but only 6.83 against everything else. A dual-specialist, not a generalist."
