name,unit_id,tier,cost_gold,food,upgrades_from,upgrades_to,traits,targets,atk1_min,atk1_max,atk1_mean,atk1_cooldown,atk1_range,atk1_type,atk1_dps,atk2_min,atk2_max,atk2_mean,atk2_cooldown,atk2_range,atk2_type,atk2_dps,splash_targets,armour_type,armour_value,hp,cost_lumber,atk1_weapon,atk1_base,atk1_dice,atk1_sides,atk1_type_resolved,base_unit,abilities,tooltip,atk2_base,atk2_dice,atk2_sides,sources,obs_owner_label,obs_notes,dps_raw,crit_multiplier,dps_with_crit,dps_per_gold,coverage_vs_725,dps_per_gold_coverage_adj,on_hit_dps,dot_dps,dps_total_est,dps_per_gold_x_range
Lasher,h01A,1,15,0,,Batraider,Weak Splash; Air Critical Strike II,"air,enemies,ground,nonancient",26,26,26.0,0.8,1000,magic,32.5,,,,,,,,"air,enemies,ground,nonancient",,0,1000,0,msplash,25,1,1,magic,hhou,"A028,A020,A006",Build Lasher ( Q ),,,,,D1,"AIR CRITICAL STRIKE II identified 2026-09-05 (the Royal Family named the tier: 50% x4). ENTIRE KIT crits 50% x4 vs AIR. At 15g this is 17.13 range-adjusted vs air - comparable to the treant kit's BEST tower, which costs 250g.",32.5,2.50,81.2,5.42,1.90,10.31,,,81.2,7.47
Batraider,h000,2,35,0,Lasher,,Air Critical Strike II; Slow Poison I (Aspo),"air,enemies,ground,nonancient",115,115,115.0,0.8,800,magic,143.7,,,,,,,,,,0,1250,0,missile,114,1,1,magic,hhou,"A028,A006,Aspo",U pgrade to Batraider,,,,,D1,AIR CRITICAL STRIKE II identified 2026-09-05 (the Royal Family named the tier: 50% x4). Highest range-adjusted figure recorded in ANY kit so far (25.94 vs air) - for 35 gold.,143.7,2.50,359.2,10.38,1.22,12.64,,4,363.2,11.45
Slammer,h019,1,75,0,,Magical Breakthrough,Cure I; Air Critical Strike I; Splash,"air,enemies,ground,nonancient",95,95,95.0,0.9,900,magic,105.6,,,,,,,,"air,enemies,ground,nonancient",,0,1500,0,msplash,94,1,1,magic,hhou,"A03U,A028,A005,A021",Build Slammer ( W ),,,,,D3,"NOTE the weaker air crit: x1.5 where the rest of the kit is x4. Only 5.61 range-adjusted vs air. Bought for the HEALING SPELL, not for damage.",105.6,1.25,132.0,1.76,1.54,2.71,,,132.0,2.18
Magical Breakthrough,h01B,2,155,0,Slammer,,Cure I; Area Cure (AIha); Uber Splash; Air Critical Strike II,"air,enemies,ground,nonancient",175,182,178.5,0.85,900,magic,210.0,,,,,,,,"air,enemies,ground,nonancient",,0,1750,0,msplash,174,1,8,magic,hhou,"A03U,AIha,A028,A022,A006",U pgrade to Magical Breakthrough,,,,,D3,Stats not captured.,210,2.50,525.0,3.39,1.54,5.22,,,525.0,4.20
Shadow,h018,1,115,0,,Absolute Zero,Slow Poison I (Aspo),"air,enemies,ground,nonancient",275,275,275.0,0.9,700,magic,305.6,,,,,,,,,,0,1500,0,missile,274,1,1,magic,hhou,"A028,Aspo",Build Shadow ( E ),,,,,D4,NO crit reported - the first Tempest Hawk tower without the air crit. 7.23 range-adjusted untyped.,305.6,1.00,305.6,2.69,0.93,2.51,,4,309.6,2.60
Absolute Zero,h005,2,210,0,Shadow,,Boss Assassin II; Air Critical Strike II; Prison of Ice,"air,enemies,ground,nonancient",2500,2500,2500.0,4.0,900,magic,625.0,,,,,,,,,,0,2000,0,instant,2499,1,1,magic,hhou,"A00R,A028,A006,A02U",U pgrade to Absolute Zero,,,,,D4,"AIR CRITICAL STRIKE II identified 2026-09-05 (the Royal Family named the tier: 50% x4). UPGRADE OF SHADOW (owner-confirmed 2026-09-05). THE ANTI-BOSS TOWER, and it ties the armour-type data together: wave 5 (a BOSS wave) was observed with armour type ""hero"", and this tower does x8 vs heroes. So ""hero"" armour marks the boss and this is the built answer to it. THE FREEZE IS THE HEADLINE: 3.5s freeze on a 2.5s attack cycle = 1.4x uptime = PERMANENT lockdown of a single target, which on a boss is a hard counter rather than a damage boost. 2500 per hit is the largest single hit recorded in any kit. CONFIRMED 2026-09-05: the x8 hero line is Boss Assassin II, whose chance is 50% - so the 26.60 figure is no longer provisional.",625,2.50,1562.5,7.44,1.54,11.47,,,1562.5,9.24
Judgement Fire,h01M,1,400,0,,,Uber Splash; Air Critical Strike I; Apxf; Phoenix Fire (Amgr),"air,enemies,ground,nonancient",875,881,878.0,1.35,500,magic,650.4,,,,,,,,"air,enemies,ground,nonancient",,0,2500,0,msplash,874,1,7,magic,hhou,"A028,A022,A005,Apxf,Amgr",Build Judgement Fire ( R ),,,,,D5,Convergent unlock - needs BOTH T3 and T4 lines upgraded.,650.4,1.25,813.0,2.03,0.48,0.97,,,813.0,1.40
Baby Dragon Den,h01I,1,50,0,,,Weak Splash; Air Critical Strike II,"air,enemies,ground,nonancient",85,85,85.0,0.8,800,magic,106.2,,,,,,,,"air,enemies,ground,nonancient",,1,1250,0,msplash,84,1,1,magic,hhou,"A028,A020,A006",Build Baby Dragon Den ( A ),,,,,D2,"AIR CRITICAL STRIKE II identified 2026-09-05 (the Royal Family named the tier: 50% x4). T2 forks into an exclusive choice, same shape as the treant T2.",106.2,2.50,265.5,5.31,1.22,6.47,,,265.5,5.86
Siamese Dragon,h01G,1,175,0,,Garrison Eraser,Splash; Frost I (Afra),"air,enemies,ground,nonancient",201,205,203.0,0.8,750,magic,253.7,,,,,,,,"air,enemies,ground,nonancient",,1,1500,0,msplash,200,1,5,magic,hhou,"A028,A021,Afra",Build Siamese Dragon ( S ),,,,,D6,Stats not captured.,253.7,1.00,253.7,1.45,1.07,1.55,,,253.7,1.50
Garrison Eraser,h01H,2,300,0,Siamese Dragon,,Fortitude; Vindicator I; Slow Poison II,"enemies,ground,nonancient",1101,1110,1105.5,0.4,700,siege,2763.7,571,580,575.5,0.4,700,pierce,1438.7,,,,2500,0,missile,1100,1,10,siege,hhou,"A047,A02Y,A028,A008",U pgrade to Garrison Eraser,570,1,10,,D6,Name only.,2763.7,2.25,6218.3,20.85,0.93,19.43,,36,6254.3,20.13
