trait,ability_id,defined_in_map,description,hotkey,passive,towers_using,example_towers,notes
Air Barrage (A000),A000,yes,Fires a secondary volley of death energy that target nearby enemies. Hits up to 7 targets in this manner and deals 1000 damage each.,,,1,Death Dragon,
Death Strike (A001),A001,yes,The Death Dragon's attack instantly kills a non-hero ground unit.,,,1,Death Dragon,
Frost II (A002),A002,yes,Adds a cold effect to this unit's attacks that slows enemy units' movement speed for a medium period of time.,,,3,D-String; Apocalypse; Frozen Reaper,
Ground Critical Strike I (A003),A003,yes,Gives a 35% chance to do 2 times normal damage on an attack. Crits against ground only.,,,8,Duke Burnify; Chibidevil; Stealth Maiden,
Versatile Critical Strike I (A004),A004,yes,Gives a 35% chance to do 2.5 times normal damage on an attack. Crits against all units.,,,13,Axeman; General Ninpou; Equipped Peasant 2,
Air Critical Strike I (A005),A005,yes,Gives a 50% chance to do 1.5 times normal damage on an attack. Crits against air units.,,,12,Spear Guard; War Beast; The Pride of Moon Star,
Air Critical Strike II (A006),A006,yes,Gives a 50% chance to do 4 times normal damage on an attack. Crits against air units.,,,17,Tamed Game; Toxic Assassin; Frigid Dryad,
Cleaving Attack (A007),A007,yes,25% of this unit's damage strikes through the primary target to hurt all nearby enemies in a 200 radius.,,yes,1,Insurrectionist Trow,
Slow Poison II (A008),A008,yes,"A vicious poison attack that deals 36 damage per second, and slows the target organic enemy's movement by 40%.|n|nAll poison types stacks with each other.",,,10,Axeman; Ruthless Warlord; Jailing Officer,
Air Deficiency (A009),A009,yes,"This unit cannot strike air units very efficiently, and deals only 25% damage on 50% of its attacks.",,,7,Mercurial Predator; Severe Trauma; Promontory Disruptor,
Ground Critical Strike II (A00A),A00A,yes,"The Destroyer possesses the heart of a lion, and has a 50% chance to deal 5x damage to ground enemies.",,,1,Unrivaled Destroyer,
Calamity (A00B),A00B,yes,"Slams the ground, dealing no damage to nearby ground units in a large radius, but slowing them for 15 seconds by 15%.|nDoes not stack with Vacuum Torpedo.",,,1,Apocalypse,
Judgement (A00N),A00N,yes,Burns nearby enemy air units over time. Deals 100 damage per second. |nLasts 20 seconds.,,,2,High Priest; Martyr,
Rail Driver (A00O),A00O,yes,Summons two ethereal hands to erupt from the earth that instantly kills a non-hero ground unit.,,,1,Delphinus,
Vacuum Torpedo (A00P),A00P,yes,Fires a torpedo straight into the soft earth that implodes the ground. The ethereal force ripples from Delphinus dealing 150 points of damage and greatly slows ground enemies for 8 seconds.|nDoes not stack with Calamity.,,,1,Delphinus,
Tornado Shot (A00Q),A00Q,yes,Summons 6 fast moving tornados whirling shrapnel and dust every second for 10 seconds. |nDamages air units in a small area of effect for 100 damage.,,,2,Little Jack; Battleship Mackinaw,
Boss Assassin II (A00R),A00R,yes,Deals 8x damage to heroes. Crits 50% of the time.,,,4,Marksman; Ignatious; Astral Skibi,
Absolution (A00S),A00S,yes,Skibi's magical attack has a 50% chance to deal 25 times normal damage against non-boss enemy units.,,,1,Astral Skibi,
Slow Poison III (A00T),A00T,yes,"A poison attack that deals 250 damage per second, and slows the target organic enemy's movement by 65%.|n|nAll poison types stacks with each other.",,,2,Toxic Assassin; Peppy Bronzebeard,
Air Critical Strike III (A00U),A00U,yes,Gives a 50% chance to do 7 times normal damage on an attack. Crits against air units.,,,2,Noir Heart; Shrine of Isis,
Gravity Well (A00V),A00V,yes,Rips the fabric and essence from those that stand on the same ground as her ladyship. Enemy life is reduced by about 10% and movement speed permanently is cut by 5%. This damage cannot be prevented or reduced.,,,2,Lilianna Mai; Astral Skibi,
Cure All (A00X),A00X,yes,Instantly heals the allies' buildings for 250. |n|nAffects allied buildings.,,,2,Protection Ward; Roseate Ward,
Combustion (A014),A014,yes,Increases the tower's attack rate by up to 50% for 15 seconds.,,,5,Aspect of Fire; Scalding Tower; Fire Hydra,
Collapse (A019),A019,yes,"Strikes from underneath the ground with a terribly powerful tentacle, permanently lowering a non-hero ground unit's movement speed to the minimum amount.",,,1,Glacial Spike,
Sloth II (A01A),A01A,yes,1/5th of this tower's attacks reduces a target creep's HP by 25% and permanently reduces movement speed by a large amount. |n|nThis curse stacks with itself.,,,1,Scarlet Ward,
Supine Hex I (A01B),A01B,yes,This ward's power permanently reduces a non-hero enemy's movement speed by 7. |n|nThis curse stacks with itself.,,,1,Sapphire Ward,
Supine Hex II (A01C),A01C,yes,This ward's power permanently reduces a non-hero enemy's movement speed by 12. |n|nThis curse stacks with itself.,,,1,Purity Ward,
Versatile Critical Strike II (A01E),A01E,yes,Gives a 60% chance to do 2.75 times normal damage on an attack. Crits against all units.,,,6,Equipped Peasant 3; Equipped Peasant 4; Equipped Peasant 5,
Curse Boss II (A01G),A01G,yes,"Cuts at the heart of evil, and reduces an enemy boss's movement speed by a medium portion.|nThis curse stacks with itself.",,,1,Malachite Ward,
Curse Boss I (A01H),A01H,yes,"Cuts at the heart of evil, and reduces an enemy boss's movement speed by a small portion.|nThis curse stacks with itself.",,,1,Lilac Ward,
Sloth I (A01I),A01I,yes,1/5th of this tower's attacks reduces a target creep's HP by 15% and permanently reduces movement speed by a medium amount. |n|nThis curse stacks with itself.,,,1,Ochre Ward,
Multiple Shot (A01M),A01M,yes,"The tower's attacks home on enemies, and richochet to strike additional units.",,,1,Porcus Maximus,
Weak Ground Splash (A01V),A01V,yes,The tower's attacks splash when the missiles strike the enemy. The damage is distributed in the following radius from strongest to weakest: 25/50/75 |n|nSplash strikes ground units only.,,,2,K Dig; Machination,
Ground Splash (A01W),A01W,yes,The tower's attacks splash when the missiles strike the enemy. The damage is distributed in the following radius from strongest to weakest: 50/100/150 |n|nSplash strikes ground units only.,,,8,Grayson's Fort Buster; Xavier; Shrapnel Shooter,
Uber Ground Splash (A01X),A01X,yes,The tower's attacks splash when the missiles strike the enemy. The damage is distributed in the following radius from strongest to weakest: 75/150/225 |n|nSplash strikes ground units only.,,,4,Severe Trauma; Earth's Blood; Gigas Spike,
Supreme Ground Splash (A01Y),A01Y,yes,The tower's attacks splash when the missiles strike the enemy. The damage is distributed in the following radius from strongest to weakest: 150/0/0 |n|nSplash strikes ground units only.,,,1,Promontory Disruptor,
Supreme Splash (A01Z),A01Z,yes,The tower's attacks splash when the missiles strike the enemy. The damage is distributed in the following radius from strongest to weakest: 150/0/0 |n|nSplash strikes air and ground units.,,,1,Scarlet Ward,
Weak Splash (A020),A020,yes,The tower's attacks splash when the missiles strike the enemy. The damage is distributed in the following radius from strongest to weakest: 25/50/75 |n|nSplash strikes air and ground units.,,,3,Shinobi; Lasher; Baby Dragon Den,
Splash (A021),A021,yes,The tower's attacks splash when the missiles strike the enemy. The damage is distributed in the following radius from strongest to weakest: 50/100/150 |n|nSplash strikes air and ground units.,,,17,Orobos Slave; Frigid Dryad; Iron Mistress,
Uber Splash (A022),A022,yes,The tower's attacks splash when the missiles strike the enemy. The damage is distributed in the following radius from strongest to weakest: 75/150/225 |n|nSplash strikes air and ground units.,,,5,The Unborn; Malachite Ward; Arcadia,
Aviary Degeneration (A024),A024,yes,Reduces the movement speed of nearby flying enemy units by 20%.,,,1,Shrine of Isis,
Sell Tower (A028),A028,yes,"Sell this tower for 50% of what you paid, including upgrade costs. |n|nRoyal Family towers return 90%. |n|nDamaged towers will return only a % of the costs based on remaining HP.",,,12,Equipped Peasant 1; Equipped Peasant 2; Equipped Peasant 3,
Bash III (A02E),A02E,yes,Gives a 33% chance that an attack will do 1500 bonus damage and stun a non-hero ground creep for 3 seconds.,,,1,Icy Skewer,
Prison of Ice (A02U),A02U,yes,Absolute Zero's attacks freezes a target enemy for 3.5 seconds. During that time the enemy cannot move or attack.,,,1,Absolute Zero,
Gooify (A02X),A02X,yes,"Costs 6 mana per attack, else Krotas will stop.|n|nEach attack made is enhanced with living flames that cling to the target. These flames add 725 damage on the first attack, twice as much on the second attack, three times as much on the third attack, etc.|n|nIf a unit dies while under this effect, it is incinerated, causing up to 5000 damage to all nearby hostile units.|n|nUnits dealt a killing blow by Krotas will occasionally explode in a wave of frost that slows nearby enemies.",,,1,Krotas,
Vindicator I (A02Y),A02Y,yes,Gives a 50% chance to do 3.5 times normal damage on an attack. Crits against attacking units.,,,6,Orobos Slave; Iron Mistress; Cloud Buster,
Vindicator III (A02Z),A02Z,yes,Gives a 50% chance to do 10 times normal damage on an attack. Crits against attacking units.,,,7,Hylgion Militia; Impervious Armor; Equipped Peasant 4,
Vindicator II (A03C),A03C,yes,Gives a 50% chance to do 6 times normal damage on an attack. Crits against attacking units.,,,8,Peasant; Bladesmith; Equipped Peasant 1,
Boss Assassin I (A03D),A03D,yes,Deals 4x damage to heroes. Crits 50% of the time.,,,11,Myrkridon Trow; Hunter; Jailing Officer,
Slow Aura I (A03M),A03M,yes,Decreases nearby enemy units' movement speed by 5% and attack rate by 5%.|nThis aura stacks with Slow Aura II.,,,1,Sapphire Ward,
Slow Aura II (A03N),A03N,yes,Decreases nearby enemy units' movement speed by 10% and attack rate by 10%.|nThis aura stacks with Slow Aura I.,,,1,Purity Ward,
Toughness Aura II (A03P),A03P,yes,Gives 3 additional armor to nearby friendly towers.|nThis aura stacks with Toughness Aura I.,,,1,Roseate Ward,
Repel Aura (A03Q),A03Q,yes,Decreases nearby attacking ground enemy units' attack rates by 20%.,,,1,Repel,
Missile Salvo I (A03R),A03R,yes,Fires a secondary volley of boulders that target nearby enemies.,,,1,Bombardment,
Missile Salvo II (A03S),A03S,yes,Fires a secondary volley of missiles that target nearby enemies.,,,1,Interceptor Factory,
Cure I (A03U),A03U,yes,Heals a target friendly tower for 1500 HP.|n|nCooldown = 50 seconds.,,,4,Frigid Dryad; The Pride of Moon Star; Slammer,
Cure II (A03V),A03V,yes,Heals a target friendly tower for 2500 HP. |n|nCooldown = 35 seconds.,,,4,Delfino; Evolved Dweller; High Priest,
Regeneration (A03W),A03W,yes,This tower regenerates 12 HP per second.,,,4,Exiled Soul; Quickshot; Cross Bow,
Air Slow Poison (A03X),A03X,yes,A non-lethal poison that slows the target organic air enemy's movement by 70%.|n|nAll poison types stacks with each other.,,,1,Ignatious,
Machine Critical Strike (A03Y),A03Y,yes,Gives a 40% chance to do 3 times normal damage on an attack. Crits against mechanical units only.,,,4,Xavier; Sewer Barge; Frankenstone,
Fortitude (A047),A047,yes,This unit has above average hitpoints and armor when compared to other towers of its tier.,,,15,Bladesmith; Impervious Armor; Evolved Dweller,
Super Regeneration (A070),A070,yes,This tower regenerates 45 HP per second.,,,1,Brahma's Fix-it Shop,
Sacrifice (A07P),A07P,yes,"Sacrifice this tower, activating its on-death ability.",,,3,Mana Well; Phoenix Spawn; Unstable Flux,
Ball Lightning (A07R),A07R,yes,Hurls a bolt of electricity at target for 162 damage and jumps to strike 5 additional targets.,,,1,Aspect of Lightning,
Arctic Blast (A07S),A07S,yes,Blasts enemy units with a wave of frost that slows and damages nearby enemies for 120 damage.,,,1,Arctic Blaster,
Tsukikaze (A07T),A07T,yes,Hurts a bolt of electricity at target for 3700 damage and jumps to strike 10 additional targets.,,,1,Tsukikaze Warrior,
Soothe Foundation (A080),A080,yes,Restores 15 hit points to nearby friendly units in a very large radius.,,,1,Rebuilder,
(Dummy Ability - Life Steal) (Aabr),Aabr,yes,This tower's attack heals itself for a portion of damage dealt to enemy ground units.,,,3,Heartseeker; Chibidevil; Poison Dragon,
Freezing Field (Aamk),Aamk,yes,"Costs 30 mana per attack, else the Field will stop.|n|nFreezing Field attacks deal 575 frost damage to nearby enemies and slows their movement rate and attack speed for 3 seconds.",,,1,Freezing Field,
Grounding Curse (Aap1),Aap1,yes,Damages nearby enemy ground units over time with a lightning curse. Deals 1000 damage per second. |nLasts 12 seconds.,,,1,Von Chillspeak,
Bash II (ACbh),ACbh,yes,Gives a 20% chance that an attack will do 235 bonus damage and stun a non-hero ground creep for 2 seconds.,,,3,Impervious Armor; Captain Bartlebee; Battleship Mackinaw,
