wave,modifiers_classic,modifiers_impossible,modifiers_turbo
1,Nothing special,Damage Reduction,Nothing special
2,Nothing special,"Evasion, Regeneration",Nothing special
3,Mechanical,"Mechanical, Horde",Mechanical
4,Air,"Air, Flame, Evasion",Air
5,Flame Boss,"Turtle Boss, Reincarnation",Flame Boss
6,Death's Rage,"Death's Rage, Regeneration",Death's Rage
7,Horde,Oversoul,Nothing special
8,Flame,"Flame, Extra Fast",Flame
9,Air,"Air, Death's Rage, Tanker",Air
10,Divine Shield Boss,"Divine Shield Boss, Mighty Aura",Divine Shield Boss
11,"Accelerate, Implode","Attackers, Accelerate, Mechanical","Accelerate, Implode"
12,Oversoul,"Oversoul, Damage Reduction",Oversoul
13,Nothing special,"Flame, Tanker",Nothing special
14,"Air, Bonus, Shedder, Mechanical","Air, Bonus, Shedder, Mechanical","Air, Bonus, Shedder, Mechanical"
15,"Burst Boss, Phase Shift","Brilliance Boss, Phase Shift, Mana Shield","Burst Boss, Phase Shift"
16,Flame,"Flame, Spell Immune",Flame
17,Nothing special,Tanker,Nothing special
18,Phase Shift,"Attackers, Regeneration",Phase Shift
19,Air,"Air, Phase Shift",Air
20,Area Heal Boss,"Mighty Aura Boss, Heavily Armored",Area Heal Boss
21,"Flame, Oversoul","Flame, Oversoul","Flame, Oversoul"
22,Extra Fast,"Extra Fast, Once More With Feeling!!",Extra Fast
23,Attackers,Attackers,Attackers
24,"Air, Bonus, Shedder, Mechanical","Air, Bonus, Shredder, Mechanical","Air, Bonus, Shedder, Mechanical"
25,Frost Armor Boss,"Taunting Mechanical Boss, Evasion, Damage Reduction",Frost Armor Boss
26,"Flame, Shedder","Flame Shedder, Mighty Aura, Reincarnation","Flame, Shedder"
27,Death's Rage,Mechanical Heavily Armored,Death's Rage
28,Valor of the Dead,"Attackers, Valor of the Dead",Valor of the Dead
29,Air,"Air, Final Gift, Thick Hide",Air
30,Stun Boss,"Stun Boss, Blood Bound",Stun Boss
31,Flame,Flame,Flame
32,"Attackers, Reincarnation","Attackers, Mana Shield, Tanker","Attackers, Reincarnation"
33,Oversoul,Beyond Oversoul,Oversoul
34,Air,"Air, Shedder",Air
35,"Duel Aura Boss, Regeneration","Big Bad Voodoo Boss, Regeneration","Duel Aura Boss, Regeneration"
36,"Flame, Bad Seed, Damage Reduction","Flame, Bad Seed, Damage Reduction, Regeneration, Thick Hide","Flame, Bad Seed, Damage Reduction"
37,Blink,"Blink, Valor of the Dead, Mechanical",Blink
38,Attackers,"Attackers, Shedder, Implode",Attackers
39,"Air, Mechanical, Oversoul, Damage Reduction","Air, Beyond Oversoul, Damage Reduction","Air, Mechanical, Oversoul, Damage Reduction"
40,"Demoralizing Boss, Flame","Demoralizing Boss, Flame, Tanker","Demoralizing Boss, Flame"
41,Nothing special,"Unarmored, Spell Vulnerability",Nothing special
42,Flame,"Flame, Implode, Horde, Degeneration",Flame
43,,,
44,,,
45,,,
