wave,slot,creature,hp,armour_value,armour_type,move_type,speed,gold_bounty_base,bounty_dice,bounty_sides,attack_type,atk_base,atk_range,abilities,unit_id,model,obs_notes
1,main,Lesser Demon Spawn,55,,medium,,315,1,0,0,siege,499,100,,e00Y,units\creeps\Satyr\Satyr.mdl,Armour type confirmed across TWO runs (tempest hawk + royal family). HP carries the ~0.46 wave-1 softening.
1,a,Greater Demon Spawn,61,,medium,,345,1,0,0,siege,499,100,A00G,e01Y,units\creeps\satyrhellcaller\satyrhellcaller.mdl,Armour type confirmed across TWO runs (tempest hawk + royal family). HP carries the ~0.46 wave-1 softening.
2,main,Diseased Bear,155,,large,,315,1,0,0,siege,499,100,,e000,units\creeps\PolarBear\PolarBear.mdl,TYPE WITHOUT VALUE - pesada at armour 0. Proves type and value are orthogonal. Confirmed across two runs.
2,a,Pus-Filled Skink,171,1,large,,,1,0,0,siege,499,100,"ACev,Aap4",e01Z,units\critters\Skink\Skink.mdl,TYPE WITHOUT VALUE - pesada at armour 0. Proves type and value are orthogonal. Confirmed across two runs.
3,main,Siege Machine,235,1,fort,,315,1,0,0,siege,499,100,,e002,units\undead\MeatWagon\MeatWagon.mdl,Confirmed across two runs. Fortified is where magic-heavy kits are weakest in stock WC3.
3,a,Castle Destroyer,260,2,fort,,335,1,0,0,siege,499,100,,e020,units\creeps\UndeadShipBattleShip\UndeadShipBattleShip.mdl,Confirmed across two runs. Fortified is where magic-heavy kits are weakest in stock WC3.
4,main,Dark Wind Rider,285,1,small,fly,315,1,0,0,siege,499,100,,e01K,units\orc\SpiritWyvern\SpiritWyvern.mdl,"First air wave. Air runs ~76% of trunk HP. LIGHT armour - and in stock WC3 air units carry Light, so armour type may follow UNIT KIND rather than a wave schedule."
4,a,The Dark One's Eyes,480,2,small,fly,330,1,0,0,siege,499,100,"A013,ACev",e010,units\nightelf\Chimaera\Chimaera.mdl,"First air wave. Air runs ~76% of trunk HP. LIGHT armour - and in stock WC3 air units carry Light, so armour type may follow UNIT KIND rather than a wave schedule."
5,main,Condemned Councilman,335,2,hero,,325,1,0,0,siege,499,100,,e003,units\orc\WitchDoctor\WitchDoctor.mdl,"Armour type ""hero"" read on this wave; unclear whether it is the BOSS or the whole wave. Boss = 4.40x fitted trunk."
5,a,Freakish Troll,270,3,hero,,325,1,0,0,siege,499,100,A027,e028,units\orc\HeadHunter\HeadHunter_V1.mdl,"Armour type ""hero"" read on this wave; unclear whether it is the BOSS or the whole wave. Boss = 4.40x fitted trunk."
6,main,Warped Wizard,549,2,medium,,315,1,0,0,siege,499,100,,e004,units\orc\OrcWarlockGuldan\OrcWarlockGuldan.mdl,"Medium armour on a plain-ground wave, where wave 2 (also plain ground) was Heavy - so armour type is NOT predictable from composition label alone."
6,a,Mutant Mage,615,3,medium,,315,1,0,0,siege,499,100,,e01T,Units\Creeps\MurgulBloodGill\MurgulBloodGill.mdl,"Medium armour on a plain-ground wave, where wave 2 (also plain ground) was Heavy - so armour type is NOT predictable from composition label alone."
7,main,Hell Bovine,657,3,large,,315,1,0,0,siege,499,100,,e005,units\orc\spiritwalker\spiritwalker.mdl,"Armour type OBSERVED (owner read it) — this is the wave that CONFIRMED the period-5 cycle, having been predicted before it was read."
7,a,Extra Fast Cow King,1350,4,large,,485,2,0,0,siege,499,100,,e023,units\orc\spiritwalker\spiritwalker.mdl,"Armour type OBSERVED (owner read it) — this is the wave that CONFIRMED the period-5 cycle, having been predicted before it was read."
8,main,Possessed Haroi,847,3,fort,,315,1,0,0,siege,499,100,A013,e022,units\demon\Infernal\Infernal.mdl,Armour type OBSERVED and matches the period-5 cycle prediction (8/8).
8,a,Dire Mammoth,948,4,fort,,390,1,0,0,siege,499,100,A013,e006,Units\Creeps\MammothBlack\MammothBlack.mdl,Armour type OBSERVED and matches the period-5 cycle prediction (8/8).
9,main,Winged Scout,754,4,small,fly,315,1,0,0,siege,499,100,,e007,units\critters\Albatross\Albatross.mdl,"81% of trunk. Armour type OBSERVED — matches the cycle (9/9) AND the phase-lock: this is an air wave and it lands on Light, as predicted."
9,a,Aviary Lord,1900,5,small,fly,150,1,0,0,siege,499,100,,e024,units\critters\Vulture\Vulture.mdl,"81% of trunk. Armour type OBSERVED — matches the cycle (9/9) AND the phase-lock: this is an air wave and it lands on Light, as predicted."
10,main,Mutated Stag,1109,4,hero,,315,2,0,0,siege,649,100,,e008,units\nightelf\HeroKeeperoftheGrove\HeroKeeperoftheGrove.mdl,Boss = 3.89x fitted trunk. Armour type OBSERVED — CLOSES THE PHASE-LOCK LOOP: the cycle fitted on waves 1-5 correctly called an air wave (9) and a boss wave (10) five waves out. 10/10.
10,a,Forest Avatar,1246,5,hero,,315,2,0,0,siege,649,100,SCae,e029,units\nightelf\HeroKeeperoftheGrove\HeroKeeperoftheGrove.mdl,Boss = 3.89x fitted trunk. Armour type OBSERVED — CLOSES THE PHASE-LOCK LOOP: the cycle fitted on waves 1-5 correctly called an air wave (9) and a boss wave (10) five waves out. 10/10.
11,main,Death's Breath,1600,5,medium,,315,2,0,0,siege,7,100,,e009,units\undead\Shade\Shade.mdl,Armour type OBSERVED — cycle holds 11/11.
11,a,Revived Dead,1800,6,medium,,315,2,0,0,siege,8,100,,e01W,units\other\FleshGolem\FleshGolem.mdl,Armour type OBSERVED — cycle holds 11/11.
12,main,Forsaken,3346,5,large,,420,4,0,0,siege,649,100,,e00A,Units\Creeps\MurgulReaver\MurgulReaver.mdl,"OVERSOUL DOUBLES KILL GOLD: +4 per mob against a base of 2 (owner 2026-09-05). So the modifier that makes mobs stronger also doubles their bounty - risk priced as reward. Also pins the base kill rate at 2g by wave 12, up from 1g on the early waves. Sits far ABOVE trunk - the oversoul modifier is why. Armour type OBSERVED — cycle holds 12/12."
12,a,Toad Assassin,3776,6,large,,522,4,0,0,siege,649,100,A02T,e01L,Units\Creeps\MurgulShadowCaster\MurgulShadowCaster.mdl,"OVERSOUL DOUBLES KILL GOLD: +4 per mob against a base of 2 (owner 2026-09-05). So the modifier that makes mobs stronger also doubles their bounty - risk priced as reward. Also pins the base kill rate at 2g by wave 12, up from 1g on the early waves. Sits far ABOVE trunk - the oversoul modifier is why. Armour type OBSERVED — cycle holds 12/12."
13,main,Demented Beast,2574,6,fort,,315,2,0,0,siege,649,100,,e00B,Units\Creeps\Mammoth\Mammoth.mdl,"Anchor for the early-phase 29%/wave fit. Armour type OBSERVED — cycle holds 13/13, and note this is a CLEAN ""nothing special"" wave carrying Fortified, which rules out any link between armour type and composition."
13,a,Hell's Embrace,6512,7,fort,,158,2,0,0,siege,649,100,A013,e01V,units\orc\Grunt\Grunt.mdl,"Anchor for the early-phase 29%/wave fit. Armour type OBSERVED — cycle holds 13/13, and note this is a CLEAN ""nothing special"" wave carrying Fortified, which rules out any link between armour type and composition."
14,main,Bonus Box I,2400,6,small,fly,250,3,0,0,siege,649,100,,e00C,units\other\BloodElfWagon\BloodElfWagon.mdl,"MIXED: air unit 2400 (72% of trunk), non-air 3250 at armour 7. The 98%-of-fit validation point. Armour type OBSERVED — cycle 14/14, and the phase-lock holds (air wave on Light)."
14,a,Bonus Seafood I,3250,7,small,,315,4,0,0,siege,649,100,,e01Q,units\critters\SpiderCrab\SpiderCrab.mdl,"MIXED: air unit 2400 (72% of trunk), non-air 3250 at armour 7. The 98%-of-fit validation point. Armour type OBSERVED — cycle 14/14, and the phase-lock holds (air wave on Light)."
